Job Title,Company,Location,Skills,Link
Python Web Developer - Graduate Position,Holix -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Python · Software Development · Software · CSS · Web Development,https://wuzzuf.net/jobs/p/J9fJSEhsTYAp-Python-Web-Developer---Graduate-Position-Holix-Cairo-Egypt
Senior Python Developer,DAF Holding -,"Cairo, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Python · AI · Odoo · Odoo ERP · Software Development,https://wuzzuf.net/jobs/p/pGCPWFYOPMei-Senior-Python-Developer-DAF-Holding-Cairo-Egypt
Senior Python / Docker / Flask developer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeManager · 3+ Yrs of Exp · IT/Software Development · Python · Flask · Docker · Kubernetes · ASGI Frameworks. · Grafana · Prometheus · Microservices,https://wuzzuf.net/jobs/p/cs64RGLHjkQy-Senior-Python-Docker-Flask-developer-GetTechForce-com-Cairo-Egypt
Senior Python Developer,FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · senior · Python Developer · Software Development · Computer Science · Python · Information Technology (IT) · Networking · CCNA,https://wuzzuf.net/jobs/p/WfDXZOEqZ9O7-Senior-Python-Developer-FlairsTech-Cairo-Egypt
Application Development Lead - Dot Net + Python,Antal International - Egypt -,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · SQL · javaScript,https://wuzzuf.net/jobs/p/6TVX2zpr3JX0-Application-Development-Lead---Dot-Net-Python-Antal-International---Egypt-Cairo-Egypt
Django Python Programmer with Experience in Ethical Hacking,Horalix -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Project/Program Management · Django · Django Framework · Vue.js · Ethical Hacking · Firebase,https://wuzzuf.net/jobs/p/KKcgvSqURYIG-Django-Python-Programmer-with-Experience-in-Ethical-Hacking-Horalix-Cairo-Egypt
Back End Lead - .Net + Python OR Node,Confidential -,"Cairo, Egypt ",Full TimeManager · 4 - 10 Yrs of Exp · IT/Software Development · Agile · API · MongoDB · MySQL · Python · Software · .Net · dot net · Software Engineering,https://wuzzuf.net/jobs/p/YpAKoWiqgrfA-Back-End-Lead---Net-Python-OR-Node-Cairo-Egypt
Senior Python Developer (Django),InnovaDigits -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Design · Information Technology (IT) · Java · MySQL · PHP,https://wuzzuf.net/jobs/p/9O1JI5Ws3jgy-Senior-Python-Developer-Django-InnovaDigits-Cairo-Egypt
Back End Lead - Dot Net + Node / Python - Cairo,Antal International - Egypt -,"Cairo, Egypt ",Full TimeNot specified · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · PHP · HTML,https://wuzzuf.net/jobs/p/F91LiBfrtR6P-Back-End-Lead---Dot-Net-Node-Python---Cairo-Antal-International---Egypt-Cairo-Egypt
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Django · CSS · Software Development · Information Technology (IT) · Python · Programming,https://wuzzuf.net/jobs/p/Or3Dcqx2siLH-Python-Developer-OdooTec-Cairo-Egypt
Python Network Developer,Mercury Visual Solutions  -,"Cairo, Egypt ",Full TimeExperienced · 1+ Yrs of Exp · IT/Software Development · Information Technology (IT) · VFX · technical,https://wuzzuf.net/jobs/p/Wgp6RZZdxixA-Python-Network-Developer-Mercury-Visual-Solutions-Cairo-Egypt
Senior Full Stack Developer,Robiquity -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · JavaScript · Software Development · CSS · Full Stack · SQL · Web Development,https://wuzzuf.net/jobs/p/d6CSl3eVasZJ-Senior-Full-Stack-Developer-Robiquity-Cairo-Egypt
"Front End Odoo Developer (POS,E-commerce)",Peerless -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Python · JavaScript,https://wuzzuf.net/jobs/p/HKeZ7N1EhOhy-Front-End-Odoo-Developer-POSE-commerce-Peerless-Giza-Egypt
Senior Odoo Developer - (Onsite),Confidential -,"New Nozha, Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development,https://wuzzuf.net/jobs/p/N0Nh5pzRst71-Senior-Odoo-Developer---Onsite-Cairo-Egypt
Odoo Developer,2CooM -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Software Engineering · Python · Odoo Development · Odoo ERP,https://wuzzuf.net/jobs/p/l0IZ6OuypYST-Odoo-Developer-2CooM-Giza-Egypt
